EMPNO,BEGINYEAR,BEGINDATE,ENDDATE,DEPTNO,MSAL,COMMENTS
"7566","1995","01/03/1995 00:00:00","15/10/1999 00:00:00","20","2750",null
"7566","1999","15/10/1999 00:00:00",null,"20","2975",null
"7654","1999","01/01/1999 00:00:00","15/10/1999 00:00:00","30","1100",null
"7698","1982","01/06/1982 00:00:00","01/01/1983 00:00:00","30","900",null
"7698","1983","01/01/1983 00:00:00","01/01/1984 00:00:00","30","1275",null
"7698","1984","01/01/1984 00:00:00","15/04/1985 00:00:00","30","1500",null
"7698","1985","15/04/1985 00:00:00","01/01/1986 00:00:00","30","2100",null
"7698","1986","01/01/1986 00:00:00","15/10/1989 00:00:00","30","2200",null
"7698","1989","15/10/1989 00:00:00",null,"30","2850",null
"7782","1988","01/07/1988 00:00:00",null,"10","2450",null
"7788","1982","01/07/1982 00:00:00","01/01/1983 00:00:00","20","900",null
"7788","1983","01/01/1983 00:00:00","15/04/1985 00:00:00","20","950",null
"7788","1985","15/04/1985 00:00:00","01/06/1985 00:00:00","40","950",null
"7788","1985","01/06/1985 00:00:00","15/04/1986 00:00:00","40","1100",null
"7788","1986","15/04/1986 00:00:00","01/05/1986 00:00:00","20","1100",null
"7788","1986","01/05/1986 00:00:00","15/02/1987 00:00:00","20","1800",null
"7788","1987","15/02/1987 00:00:00","01/12/1989 00:00:00","20","1250",null
"7788","1989","01/12/1989 00:00:00","15/10/1992 00:00:00","20","1350",null
"7788","1992","15/10/1992 00:00:00","01/01/1998 00:00:00","20","1400",null
"7788","1998","01/01/1998 00:00:00","01/01/1999 00:00:00","20","1700",null
"7788","1999","01/01/1999 00:00:00","01/07/1999 00:00:00","20","1800",null
"7788","1999","01/07/1999 00:00:00","01/06/2000 00:00:00","20","1800",null
"7788","2000","01/06/2000 00:00:00",null,"20","3000",null
"7839","1982","01/01/1982 00:00:00","01/08/1982 00:00:00","30","1000",null
"7839","1982","01/08/1982 00:00:00","15/05/1984 00:00:00","30","1200",null
"7839","1984","15/05/1984 00:00:00","01/01/1985 00:00:00","30","1500",null
"7839","1985","01/01/1985 00:00:00","01/07/1985 00:00:00","30","1750",null
"7839","1985","01/07/1985 00:00:00","01/11/1985 00:00:00","10","2000",null
"7839","1985","01/11/1985 00:00:00","01/02/1986 00:00:00","10","2200",null
"7839","1986","01/02/1986 00:00:00","15/06/1989 00:00:00","10","2500",null
"7839","1989","15/06/1989 00:00:00","01/12/1993 00:00:00","10","2900",null
"7839","1993","01/12/1993 00:00:00","01/09/1995 00:00:00","10","3400",null
"7839","1995","01/09/1995 00:00:00","01/10/1997 00:00:00","10","4200",null
"7839","1997","01/10/1997 00:00:00","01/10/1998 00:00:00","10","4500",null
"7839","1998","01/10/1998 00:00:00","01/11/1999 00:00:00","10","4800",null
"7839","1999","01/11/1999 00:00:00","15/02/2000 00:00:00","10","4900",null
"7839","2000","15/02/2000 00:00:00",null,"10","5000",null
"7844","1995","01/05/1995 00:00:00","01/01/1997 00:00:00","30","900",null
"7844","1998","15/10/1998 00:00:00","01/11/1998 00:00:00","10","1200",null
"7844","1998","01/11/1998 00:00:00","01/01/2000 00:00:00","30","1400",null
"7844","2000","01/01/2000 00:00:00",null,"30","1500",null
"7876","2000","01/01/2000 00:00:00","01/02/2000 00:00:00","20","950",null
"7876","2000","01/02/2000 00:00:00",null,"20","1100",null
"7900","2000","01/07/2000 00:00:00",null,"30","800",null
"7902","1998","01/09/1998 00:00:00","01/10/1998 00:00:00","40","1400",null
"7902","1998","01/10/1998 00:00:00","15/03/1999 00:00:00","30","1650",null
"7902","1999","15/03/1999 00:00:00","01/01/2000 00:00:00","30","2500",null
"7902","2000","01/01/2000 00:00:00","01/08/2000 00:00:00","30","3000",null
"7902","2000","01/08/2000 00:00:00",null,"20","3000",null
"7934","1998","01/02/1998 00:00:00","01/05/1998 00:00:00","10","1275",null
"7934","1998","01/05/1998 00:00:00","01/02/1999 00:00:00","10","1280",null
"7934","1999","01/02/1999 00:00:00","01/01/2000 00:00:00","10","1290",null
"7934","2000","01/01/2000 00:00:00",null,"10","1300",null
